year_month,source_medium,sessions,engaged_sessions,purchases,revenue,users
202511,admin.shopify.com / referral,48,38,0,0.0,4
202601,shop.app / referral,48,20,0,0.0,39
202604,admin.shopify.com / referral,48,35,0,0.0,5
202604,socialmedia / influence,48,30,1,44.1,20
202508,duckduckgo / organic,47,35,1,79.0,33
202602,chatgpt.com / (not set),46,27,1,588.0,33
202511,ONLINE - Footer site - Welcome / email,44,37,0,0.0,27
202603,app.sendcloud.com / referral,44,24,0,0.0,3
202605,chatgpt.com / (not set),44,28,0,0.0,33
202509,poulpeo.com / referral,43,27,1,44.64,9
202601,redirect.ppro.com / referral,43,18,2,105.98,21
202512,judgeme / email,42,36,0,0.0,10
202606,OrderlyEmails / email,42,23,5,700.98,18
202512,crm / whatsapp_,41,23,0,0.0,27
202508,IGShopping / Social,40,29,0,0.0,39
202508,chatgpt.com / referral,40,29,1,129.0,28
202512,l.facebook.com / referral,40,21,0,0.0,22
202606,duckduckgo / organic,40,28,0,0.0,29
202507,instagram.com / referral,39,24,0,0.0,39
202509,facebook-SiteLink / ppc,39,18,0,0.0,35
202511,AMT / Influenceur,39,5,0,0.0,38
202511,qwant.com / organic,39,35,0,0.0,33
202510,AMT / Influenceur,38,7,0,0.0,38
202601,qwant.com / organic,38,25,0,0.0,26
202604,OrderlyEmails / email,38,20,7,641.88,15
202506,Instagram_stories / Influenceur,37,23,0,0.0,36
202606,shop.app / referral,37,16,1,154.0,11
202604,ONLINE - Footer site - Welcome / email,36,20,0,0.0,23
202507,duckduckgo / organic,35,27,0,0.0,27
202509,google / product_sync,35,26,0,0.0,30
202510,ONLINE - Footer site - Welcome / email,35,21,0,0.0,24
202511,zipchat / chat_bubble,35,15,2,563.1,16
202506,OrderlyEmails / email,34,23,1,65.0,18
202507,facebook.com / referral,33,30,0,0.0,33
202510,lepetitlunetier.aftership.com / referral,32,19,0,0.0,20
202602,judgeme / referral,32,27,0,0.0,1
202509,(data not available),31,26,0,0.0,30
202510,savoo.fr / referral,31,13,4,183.72,16
202512,(not set),31,0,0,0.0,26
202606,(not set),31,0,0,0.0,25
202606,chatgpt.com / ai-assistant,31,19,0,0.0,24
202506,google / product_sync,30,25,0,0.0,26
202508,facebook.com / referral,30,23,0,0.0,28
202601,chatgpt.com / (not set),30,17,1,49.0,21
202601,l.facebook.com / referral,30,21,0,0.0,26
202602,admin.shopify.com / referral,30,16,0,0.0,3
202506,influenceur.promo / referral,29,9,1,46.64,15
202512,m.facebook.com / referral,29,23,0,0.0,25
202508,commeuncamion.com / referral,28,19,0,0.0,21
202604,chatgpt.com / (not set),28,18,1,54.99,25
202606,back-in-stock / email,28,11,2,103.99,9
202506,lepetitlunetier.com / referral,27,18,3,0.0,26
202601,thebradery.com / referral,27,7,0,0.0,2
202603,judgeme / referral,27,23,0,0.0,1
202507,poulpeo.com / referral,26,15,1,237.0,13
202509,facebook.com / referral,26,21,0,0.0,23
202511,search.brave.com / referral,26,19,1,93.99,20
202601,m.facebook.com / referral,26,12,0,0.0,22
202601,shop_app / (not set),26,11,0,0.0,13
202603,admin.shopify.com / referral,26,17,0,0.0,4
202506,ONLINE - Footer site - Welcome / email,25,19,1,44.1,13
202506,fr.search.yahoo.com / referral,25,21,1,46.64,20
202507,youtube.com / referral,25,16,0,0.0,24
202509,zipchat / chat_bubble,25,14,3,292.0,10
202601,crm / whatsapp_,25,19,5,150.99,20
202601,judgeme / referral,25,21,0,0.0,2
202602,crm / whatsapp_,25,19,1,0.0,18
202508,poulpeo.com / referral,24,14,2,164.65,10
